0,1
tt0113092,19%
tt0113086,46%
tt0116748,46%
tt0115874,46%
tt0116391,46%
tt0118694,92%
tt0118710,92%
tt0118852,74%
tt0119866,74%
tt0119495,82%
tt0119966,82%
tt0120202,85%
tt0120467,23%
tt0123003,20%
tt0122161, 0%
tt0120117, 0%
tt0120626,80%
tt0120263,89%
tt0120753,24%
tt0120630,97%
tt0120698,14%
tt0122459,62%
tt0127349,50%
tt0130623,65%
tt0134630,21%
tt0133752,21%
tt0135707,57%
tt0138353,47%
tt0138927,60%
tt0138655,60%
tt0138946,64%
tt0138818,91%
tt0139500,00%
tt0141399,24%
tt0143344,24%
tt0144142,43%
tt0144084,68%
tt0142155,68%
tt0144613,68%
tt0146309,68%
tt0146882,91%
tt0146984,43%
tt0148421,67%
tt0149624,32%
tt0149367,48%
tt0151150,51%
tt0153012,/10
tt0153100,/10
tt0153464,45%
tt0155723,65%
tt0156020,62%
tt0155754,61%
tt0155150,61%
tt0157202,61%
tt0156841,19%
tt0156942,00%
tt0156812,73%
tt0156757,57%
tt0157122,74%
tt0158033,64%
tt0159371,64%
tt0158871,/10
tt0160495,21%
tt0160547,57%
tt0160550,83%
tt0160663,55%
tt0160644,19%
tt0160289,41%
tt0159784,56%
tt0161216,51%
tt0160759,29%
tt0160484, 8%
tt0160797, 8%
tt0160749,62%
tt0161003,62%
tt0160616,17%
tt0162222,17%
tt0161081,47%
tt0162983,12%
tt0163125,45%
tt0162901,50%
tt0164182,50%
tt0164212,49%
tt0163983, 4%
tt0163676, 2%
tt0163978, 2%
tt0163745,71%
tt0164318,62%
tt0164545,62%
tt0165642,81%
tt0166013,20%
tt0165800, 0%
tt0167183, 0%
tt0168446,87%
tt0168629,87%
tt0168509,87%
tt0167203,10%
tt0167380,10%
tt0169324,44%
tt0168612,29%
tt0169122,31%
tt0168856,49%
tt0168504,37%
tt0168631,29%
tt0171433,69%
tt0171359,58%
tt0170452,20%
tt0170691,77%
tt0172495,77%
tt0171580,83%
tt0172699, 0%
tt0172632,65%
tt0173999,65%
tt0174027,65%
tt0174480,20%
tt0174646,20%
tt0176578,20%
tt0176783,28%
tt0177195,49%
tt0177971,46%
tt0177888,22%
tt0179137,71%
tt0177068,28%
tt0178050,49%
tt0179473,14%
tt0179861,20%
tt0179443, 8%
tt0180093, 8%
tt0180073,75%
tt0179653,33%
tt0181311,33%
tt0181819,49%
tt0180837,73%
tt0181865,93%
tt0181945,93%
tt0183056,54%
tt0183280,54%
tt0183639,54%
tt0183659,80%
tt0180683,83%
tt0181536,74%
tt0183550,58%
tt0183423,58%
tt0182508,73%
tt0181875,89%
tt0181984,66%
tt0183808,46%
tt0184056,46%
tt0183946,46%
tt0184858,25%
tt0185542,70%
tt0185215,70%
tt0186221,92%
tt0186183,92%
tt0187880,75%
tt0186151,75%
tt0187393,75%
tt0186975, 3%
tt0185014,81%
tt0187474,81%
tt0186719,14%
tt0186549,22%
tt0186894,53%
tt0186454, 0%
tt0187847, 0%
tt0188160, 0%
tt0188189, 0%
tt0188135, 0%
tt0188518,50%
tt0188613,50%
tt0188490,50%
tt0188688,50%
tt0189509,50%
tt0190052,50%
tt0190994,50%
tt0190524,16%
tt0189998,82%
tt0190332,98%
tt0190861,31%
tt0191754,31%
tt0192614, 9%
tt0190865,49%
tt0192346,49%
tt0189960,58%
tt0192295,58%
tt0190736,45%
tt0191037, 9%
tt0191636,91%
tt0192719,27%
tt0190346,68%
tt0192949,42%
tt0191352,42%
tt0191782,42%
tt0191865,42%
tt0192678,42%
tt0193741,49%
tt0193854,67%
tt0194027,67%
tt0194319,67%
tt0194218,91%
tt0195001,/10
tt0195860,/10
tt0195857,94%
tt0194852,94%
tt0195352,94%
tt0196223,34%
tt0195944,34%
tt0195685,34%
tt0195778,17%
tt0195631,17%
tt0195979, 9%
tt0196219,95%
tt0197311,50%
tt0197072, 0%
tt0197384, 0%
tt0197402, 0%
tt0196723,56%
tt0197644,56%
tt0197646, 0%
tt0197740, 0%
tt0196708,58%
tt0197096,52%
tt0197753,17%
tt0197299,81%
tt0197104,18%
tt0198021,18%
tt0198320,18%
tt0198284,31%
tt0198893,31%
tt0199000,86%
tt0198654,86%
tt0199129,72%
tt0199077,83%
tt0199650,11%
tt0200427,81%
tt0200530,84%
tt0199725,85%
tt0199748,85%
tt0199974,22%
tt0200171,83%
tt0200192,52%
tt0199744,65%
tt0199696,65%
tt0200472,60%
tt0200299,60%
tt0199700,00%
tt0200550,23%
tt0201726,33%
tt0202592,33%
tt0201737,20%
tt0200720,82%
tt0201275,82%
tt0200669,54%
